,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
59,Ust-Maya,RU,2021-10-01 01:11:51,60.4167,134.5333,36.28,83,100,5.1,overcast clouds
60,Luba,GQ,2021-10-01 01:11:52,3.4568,8.5547,77.79,87,100,3.4,light rain
61,Ribeira Grande,PT,2021-10-01 01:11:52,38.5167,-28.7,71.6,83,16,2.24,few clouds
62,Shimoda,JP,2021-10-01 01:11:53,34.6667,138.95,68.36,92,100,33.84,light rain
63,Cotonou,BJ,2021-10-01 01:11:53,6.3654,2.4183,78.1,86,91,7.87,light rain
64,Petropavlovsk-Kamchatskiy,RU,2021-10-01 01:11:54,53.0452,158.6483,48.79,71,75,11.18,light rain
65,Puerto Lempira,HN,2021-10-01 01:11:54,15.2667,-83.7667,79.54,83,0,8.03,clear sky
66,Bilma,NE,2021-10-01 01:11:55,18.6853,12.9164,84.36,14,0,18.1,clear sky
67,Nuuk,GL,2021-10-01 01:11:55,64.1835,-51.7216,34.41,64,81,10.36,broken clouds
68,Kruisfontein,ZA,2021-10-01 01:09:50,-34.0033,24.7314,58.89,95,81,4.92,broken clouds
69,Cape Town,ZA,2021-10-01 01:02:31,-33.9258,18.4232,59.34,72,0,11.92,clear sky
70,Port Alfred,ZA,2021-10-01 01:11:56,-33.5906,26.891,60.98,91,0,9.06,clear sky
71,Cavan,IE,2021-10-01 01:11:56,53.9908,-7.3606,55.42,95,54,15.55,broken clouds
72,Dong Xoai,VN,2021-10-01 01:11:57,11.5333,106.9167,77.5,93,99,3.36,overcast clouds
73,Bengkulu,ID,2021-10-01 01:11:57,-3.8004,102.2655,76.41,84,100,4.32,overcast clouds
74,Natal,BR,2021-10-01 01:11:58,-5.795,-35.2094,77.65,88,20,4.61,few clouds
75,Flin Flon,CA,2021-10-01 01:11:58,54.7682,-101.865,54.21,50,8,6.64,clear sky
76,Srivardhan,IN,2021-10-01 01:11:58,18.0333,73.0167,76.06,90,57,5.57,broken clouds
77,Saint-Joseph,RE,2021-10-01 01:11:59,-21.3667,55.6167,70.16,78,43,10.02,scattered clouds
78,Winfield,US,2021-10-01 01:11:59,37.2398,-96.9956,67.73,94,1,4.61,clear sky
79,Hermanus,ZA,2021-10-01 01:12:00,-34.4187,19.2345,56.89,87,97,8.43,light rain
80,Tarauaca,BR,2021-10-01 01:12:00,-8.1614,-70.7656,73.87,92,100,1.28,overcast clouds
81,Altay,CN,2021-10-01 01:12:01,47.8667,88.1167,45.39,97,100,1.52,moderate rain
82,Vaini,TO,2021-10-01 01:09:46,-21.2,-175.2,75.36,88,75,9.22,broken clouds
83,Esperance,AU,2021-10-01 01:12:01,-33.8667,121.9,68.9,55,100,9.42,overcast clouds
84,Bereznehuvate,UA,2021-10-01 01:10:16,47.3078,32.8499,46.24,57,0,8.34,clear sky
85,Beringovskiy,RU,2021-10-01 01:12:02,63.05,179.3167,30.56,78,100,17.74,overcast clouds
86,Moroto,UG,2021-10-01 01:12:02,2.5345,34.6666,70.47,65,84,5.59,broken clouds
87,Port Macquarie,AU,2021-10-01 01:12:03,-31.4333,152.9167,73.36,55,63,7.7,broken clouds
88,Chake Chake,TZ,2021-10-01 01:12:03,-5.2459,39.7666,73.99,82,14,8.03,few clouds
89,Kalabo,ZM,2021-10-01 01:12:04,-14.97,22.6814,75.45,36,93,3.74,overcast clouds
90,Bredasdorp,ZA,2021-10-01 01:04:01,-34.5322,20.0403,55.27,97,100,1.57,light rain
91,Adrar,MR,2021-10-01 01:12:04,20.5022,-10.0711,91.72,12,88,7.07,overcast clouds
92,Airai,TL,2021-10-01 01:04:16,-8.9266,125.4092,79.41,26,44,3.0,scattered clouds
93,East London,ZA,2021-10-01 01:04:03,-33.0153,27.9116,62.04,90,2,7.47,clear sky
94,Cayenne,GF,2021-10-01 01:12:05,4.9333,-52.3333,83.08,78,0,4.0,clear sky
95,Korem,ET,2021-10-01 01:12:06,12.5058,39.5228,55.94,65,16,1.34,few clouds
96,Coaraci,BR,2021-10-01 01:12:06,-14.6408,-39.5511,66.9,99,39,1.1,scattered clouds
97,Richards Bay,ZA,2021-10-01 01:09:49,-28.783,32.0377,66.47,86,100,14.9,light rain
98,Avarua,CK,2021-10-01 01:00:42,-21.2078,-159.775,80.65,69,40,11.5,scattered clouds
99,Sokolo,ML,2021-10-01 01:12:07,14.7328,-6.1219,87.49,43,100,10.16,overcast clouds
100,Vite,IN,2021-10-01 01:12:07,17.2833,74.55,69.73,91,52,2.62,broken clouds
101,Sorland,NO,2021-10-01 01:12:08,67.667,12.6934,51.04,76,30,10.47,scattered clouds
102,Baker City,US,2021-10-01 01:10:48,44.7749,-117.8344,65.93,32,1,13.8,clear sky
103,Port Elizabeth,ZA,2021-10-01 01:12:09,-33.918,25.5701,62.89,100,90,4.61,mist
104,Suciu De Sus,RO,2021-10-01 01:12:09,47.4333,24.0333,51.17,80,100,1.92,overcast clouds
105,Bitung,ID,2021-10-01 01:12:09,1.4451,125.1824,90.45,69,4,6.6,clear sky
106,Cabo San Lucas,MX,2021-10-01 01:09:20,22.8909,-109.9124,87.51,65,1,6.91,clear sky
107,Sisimiut,GL,2021-10-01 01:09:34,66.9395,-53.6735,33.13,69,100,9.78,overcast clouds
108,New Norfolk,AU,2021-10-01 01:04:12,-42.7826,147.0587,60.75,70,100,1.01,overcast clouds
109,Sobolevo,RU,2021-10-01 01:12:10,54.4299,31.8996,37.63,91,58,5.66,broken clouds
110,Peterhead,GB,2021-10-01 01:12:11,57.5058,-1.7981,52.2,87,100,9.53,overcast clouds
111,Luderitz,NA,2021-10-01 01:12:11,-26.6481,15.1594,55.51,95,79,8.72,broken clouds
112,Hilo,US,2021-10-01 01:01:39,19.7297,-155.09,81.28,92,90,3.44,moderate rain
113,Geraldton,AU,2021-10-01 01:12:12,-28.7667,114.6,66.61,88,40,13.8,scattered clouds
114,Chifeng,CN,2021-10-01 01:12:12,42.2683,118.9636,49.71,51,0,6.8,clear sky
115,Yellowknife,CA,2021-10-01 01:07:55,62.456,-114.3525,48.42,100,100,1.99,light rain
116,San Quintin,MX,2021-10-01 01:10:33,30.4833,-115.95,70.75,74,0,9.4,clear sky
117,Kenai,US,2021-10-01 01:12:13,60.5544,-151.2583,46.02,59,20,14.97,few clouds
118,Durg,IN,2021-10-01 01:12:13,21.1833,81.2833,77.18,91,98,0.47,overcast clouds
119,Fairbanks,US,2021-10-01 01:08:28,64.8378,-147.7164,39.6,64,90,3.44,overcast clouds
120,Maiduguri,NG,2021-10-01 01:12:14,11.8464,13.1603,79.68,45,11,3.02,few clouds
121,Palmer,US,2021-10-01 01:12:14,42.1584,-72.3287,53.22,84,20,3.44,few clouds
122,Neiafu,TO,2021-10-01 01:04:01,-18.65,-173.9833,77.14,74,98,23.26,overcast clouds
123,Usta Muhammad,PK,2021-10-01 01:12:15,28.1794,68.0445,83.8,68,100,5.77,overcast clouds
124,Mitzic,GA,2021-10-01 01:12:15,0.7821,11.549,68.23,99,100,3.06,overcast clouds
125,Lagoa,PT,2021-10-01 01:12:16,39.05,-27.9833,70.12,86,20,4.52,few clouds
126,Hithadhoo,MV,2021-10-01 01:04:15,-0.6,73.0833,81.39,74,100,3.49,overcast clouds
127,Talin,EE,2021-10-01 01:07:35,59.437,24.7535,46.94,84,90,6.91,overcast clouds
128,Hasaki,JP,2021-10-01 01:04:06,35.7333,140.8333,68.29,96,100,32.06,overcast clouds
129,Mahebourg,MU,2021-10-01 01:09:37,-20.4081,57.7,72.25,79,92,15.19,light rain
130,Quchan,IR,2021-10-01 01:12:17,37.106,58.5095,52.21,58,0,4.72,clear sky
131,Provideniya,RU,2021-10-01 01:12:18,64.3833,-173.3,35.71,55,90,15.66,light snow
132,Sinegorye,RU,2021-10-01 01:12:18,62.0788,150.477,25.48,91,100,3.71,light snow
133,Sal Rei,CV,2021-10-01 01:12:19,16.1833,-22.9167,79.36,75,100,11.56,overcast clouds
134,Odweyne,SO,2021-10-01 01:12:19,9.4092,45.064,75.4,60,100,12.44,overcast clouds
135,Omboue,GA,2021-10-01 01:12:19,-1.5746,9.2618,76.19,87,100,7.58,overcast clouds
136,Boralday,KZ,2021-10-01 01:12:20,43.3578,76.8594,46.26,76,90,4.47,overcast clouds
137,Krasnovishersk,RU,2021-10-01 01:12:20,60.4078,57.082,34.9,97,94,3.62,overcast clouds
138,Volkhov,RU,2021-10-01 01:12:21,59.9258,32.3382,40.78,96,15,4.74,few clouds
139,Grindavik,IS,2021-10-01 01:12:21,63.8424,-22.4338,43.27,75,0,19.57,clear sky
140,Bethel,US,2021-10-01 01:12:21,41.3712,-73.414,57.65,83,1,3.44,clear sky
141,Khatanga,RU,2021-10-01 01:04:11,71.9667,102.5,28.58,97,99,6.58,overcast clouds
142,Margate,GB,2021-10-01 01:04:06,51.3813,1.3862,62.31,84,100,25.14,overcast clouds
143,Karpathos,GR,2021-10-01 01:12:22,35.507,27.2132,69.76,64,0,34.52,clear sky
144,Quatre Cocos,MU,2021-10-01 01:04:14,-20.2078,57.7625,72.09,78,91,14.97,light rain
145,Tezu,IN,2021-10-01 01:09:02,27.9167,96.1667,77.07,84,65,0.51,broken clouds
146,Kapaa,US,2021-10-01 01:12:23,22.0752,-159.319,84.18,68,20,5.01,few clouds
147,Kodiak,US,2021-10-01 01:00:50,57.79,-152.4072,47.71,46,90,8.05,light rain
148,Tuatapere,NZ,2021-10-01 01:04:07,-46.1333,167.6833,53.82,65,90,10.42,overcast clouds
149,Buala,SB,2021-10-01 01:12:24,-8.145,159.5921,84.65,67,100,6.46,light rain
150,Marsa Matruh,EG,2021-10-01 01:12:24,31.3525,27.2453,73.06,68,3,12.8,clear sky
151,Nivala,FI,2021-10-01 01:12:25,63.9167,24.9667,39.69,77,100,6.44,overcast clouds
152,Port Lincoln,AU,2021-10-01 01:02:47,-34.7333,135.8667,58.53,65,21,10.36,few clouds
153,Lamballe,FR,2021-10-01 01:12:26,48.4676,-2.5144,60.08,85,82,8.99,broken clouds
154,Tijucas,BR,2021-10-01 01:12:26,-27.2414,-48.6336,71.04,89,100,6.35,light rain
155,Chilca,PE,2021-10-01 01:12:27,-12.5211,-76.7372,67.6,91,72,8.97,broken clouds
156,Berlevag,NO,2021-10-01 01:12:27,70.8578,29.0864,43.7,81,13,13.98,few clouds
157,Burnie,AU,2021-10-01 01:12:28,-41.0667,145.9167,60.84,82,50,8.14,scattered clouds
158,Beyneu,KZ,2021-10-01 01:12:28,45.3167,55.2,46.24,41,6,3.42,clear sky
159,Nouadhibou,MR,2021-10-01 01:12:28,20.931,-17.0347,70.59,88,74,15.21,broken clouds
160,Matay,EG,2021-10-01 01:12:29,28.419,30.7792,72.19,69,0,13.73,clear sky
161,Coihaique,CL,2021-10-01 01:12:29,-45.5752,-72.0662,40.95,65,62,4.61,light rain
162,Palu,ID,2021-10-01 01:12:30,-0.8917,119.8707,83.41,79,87,0.38,light rain
163,Faanui,PF,2021-10-01 01:12:30,-16.4833,-151.75,79.18,73,0,17.6,clear sky
164,Isangel,VU,2021-10-01 01:12:30,-19.55,169.2667,74.26,82,100,14.61,overcast clouds
165,Aklavik,CA,2021-10-01 01:12:31,68.2191,-135.0107,30.92,94,70,4.47,broken clouds
166,Port Shepstone,ZA,2021-10-01 01:12:31,-30.7414,30.455,66.56,84,100,15.7,overcast clouds
167,Cherskiy,RU,2021-10-01 01:12:32,68.75,161.3,21.04,90,22,7.27,few clouds
168,Peleduy,RU,2021-10-01 01:12:32,59.6289,112.7406,33.57,86,82,2.89,broken clouds
169,Warrenton,ZA,2021-10-01 01:12:32,-28.114,24.8475,60.93,81,100,11.86,light rain
170,Honefoss,NO,2021-10-01 01:12:33,60.168,10.2565,51.44,96,100,1.83,overcast clouds
171,Ambalavao,MG,2021-10-01 01:12:33,-21.8333,46.9333,56.07,94,24,4.34,few clouds
172,Guerrero Negro,MX,2021-10-01 01:12:34,27.9769,-114.0611,70.41,63,0,13.29,clear sky
173,Saint George,US,2021-10-01 01:06:59,37.1041,-113.5841,77.47,16,1,1.99,clear sky
174,Lynn Haven,US,2021-10-01 01:12:34,30.2455,-85.6483,80.01,82,75,1.01,broken clouds
175,Havre-Saint-Pierre,CA,2021-10-01 01:08:58,50.2334,-63.5986,43.16,93,90,19.57,overcast clouds
176,Saldanha,ZA,2021-10-01 01:09:41,-33.0117,17.9442,57.61,90,0,11.12,clear sky
177,Leh,IN,2021-10-01 01:12:35,34.1667,77.5833,52.86,49,0,3.91,clear sky
178,Kununurra,AU,2021-10-01 01:12:36,-15.7667,128.7333,94.98,21,5,12.66,clear sky
179,Santiago,CL,2021-10-01 01:09:54,-33.4569,-70.6483,59.29,63,0,10.36,clear sky
180,Totness,SR,2021-10-01 01:12:36,5.8833,-56.3167,80.04,83,64,11.68,broken clouds
181,Vila Velha,BR,2021-10-01 01:10:36,-20.3297,-40.2925,73.35,83,75,5.75,broken clouds
182,Nanortalik,GL,2021-10-01 01:12:37,60.1432,-45.2371,37.69,65,0,7.76,clear sky
183,Mamou,GN,2021-10-01 01:12:37,10.5,-12.0,68.18,96,100,2.8,overcast clouds
184,Poya,NC,2021-10-01 01:12:38,-21.35,165.15,81.27,60,44,6.82,scattered clouds
185,Codrington,AU,2021-10-01 01:12:38,-38.2667,141.9667,57.9,95,86,19.17,overcast clouds
186,Lebu,CL,2021-10-01 01:09:33,-37.6167,-73.65,50.16,85,100,5.95,overcast clouds
187,Mareeba,AU,2021-10-01 01:12:39,-17.0,145.4333,90.45,48,89,0.76,overcast clouds
188,Bijie,CN,2021-10-01 01:12:39,27.3125,105.2942,66.83,76,0,3.87,clear sky
