City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Privolzhsk,RU,2021-09-24 07:21:12,57.3808,41.2886,47.71,92,100,10.42
111,Umm Lajj,SA,2021-09-24 07:21:12,25.0213,37.2685,88.61,47,0,9.73
112,Udachnyy,RU,2021-09-24 07:18:20,66.4167,112.4,43.18,61,100,3.49
113,Provideniya,RU,2021-09-24 07:17:21,64.3833,-173.3,33.6,98,100,15.28
114,Killarney,IE,2021-09-24 07:21:13,52.05,-9.5167,60.85,100,90,8.05
115,Isangel,VU,2021-09-24 07:16:48,-19.55,169.2667,70.07,73,100,12.39
116,Grindavik,IS,2021-09-24 07:17:26,63.8424,-22.4338,41.47,87,75,6.91
117,Presidencia Roque Saenz Pena,AR,2021-09-24 07:21:14,-26.7852,-60.4388,55.89,73,0,5.01
118,Bua Yai,TH,2021-09-24 07:21:14,15.5855,102.4259,76.44,90,100,3.74
119,Zlobin,HR,2021-09-24 07:18:02,45.2924,14.6541,54.16,86,0,4.61
120,Svetlaya,RU,2021-09-24 07:21:15,46.5389,138.3297,58.05,66,5,6.58
121,Tiksi,RU,2021-09-24 07:16:58,71.6872,128.8694,36.25,87,100,19.26
122,Arraial Do Cabo,BR,2021-09-24 07:17:02,-22.9661,-42.0278,66.96,64,73,14.9
123,Payo,ID,2021-09-24 07:21:16,-3.7508,103.6372,92.08,46,65,5.86
124,Constitucion,CL,2021-09-24 07:18:06,-35.3333,-72.4167,53.78,71,0,5.59
125,Qaanaaq,GL,2021-09-24 07:16:53,77.484,-69.3632,15.4,62,99,6.02
126,Tuktoyaktuk,CA,2021-09-24 07:17:08,69.4541,-133.0374,32.45,76,100,10.0
127,Laerdalsoyri,NO,2021-09-24 07:21:17,61.098,7.4816,44.94,100,75,4.61
128,Buraydah,SA,2021-09-24 07:18:11,26.326,43.975,93.65,12,0,9.24
129,Bathsheba,BB,2021-09-24 07:21:17,13.2167,-59.5167,83.01,78,40,10.36
130,Nouadhibou,MR,2021-09-24 07:21:18,20.931,-17.0347,67.98,94,20,12.66
131,Dikson,RU,2021-09-24 07:17:39,73.5069,80.5464,34.81,75,29,10.92
132,Ixtapa,MX,2021-09-24 07:21:18,20.7,-105.2,76.23,95,9,4.32
133,Bereznik,RU,2021-09-24 07:21:20,62.8551,42.7072,46.89,91,100,10.67
134,Praya,CV,2021-09-24 07:21:20,14.9215,-23.5087,77.54,78,40,10.36
135,Sorrento,IT,2021-09-24 07:21:20,40.626,14.3744,74.66,34,0,2.3
136,Loreto,MX,2021-09-24 07:21:21,22.2667,-101.9667,60.01,73,26,3.42
137,Bengkulu,ID,2021-09-24 07:16:44,-3.8004,102.2655,85.08,68,18,7.38
138,Ust-Kut,RU,2021-09-24 07:21:21,56.7938,105.7672,55.02,42,100,4.34
139,Paamiut,GL,2021-09-24 07:18:49,61.994,-49.6678,31.53,60,9,19.75
140,Guerrero Negro,MX,2021-09-24 07:17:17,27.9769,-114.0611,72.1,81,100,10.54
141,Fortuna,US,2021-09-24 07:17:16,40.5982,-124.1573,53.94,50,19,3.51
142,Kampot,KH,2021-09-24 07:17:54,10.6167,104.1833,82.45,76,99,8.75
143,Muroran,JP,2021-09-24 07:21:23,42.3172,140.9881,64.65,56,88,1.57
144,Hopewell,US,2021-09-24 07:21:23,37.3043,-77.2872,59.95,93,0,5.12
145,Bolobo,CD,2021-09-24 07:21:23,-2.1667,16.2333,77.49,69,99,1.57
146,Saint-Pierre,RE,2021-09-24 07:19:18,-21.3393,55.4781,78.44,69,0,23.02
147,Agutaya,PH,2021-09-24 07:21:24,11.148,120.9417,83.75,77,39,16.78
148,Choya,RU,2021-09-24 07:21:24,52.0108,86.5467,40.82,88,100,6.2
149,Cidreira,BR,2021-09-24 07:17:20,-30.1811,-50.2056,60.75,94,100,5.82
150,Atambua,ID,2021-09-24 07:21:25,-9.1061,124.8925,82.53,50,86,2.98
151,Vao,NC,2021-09-24 07:19:15,-22.6667,167.4833,68.72,62,100,16.02
152,Tanout,NE,2021-09-24 07:21:25,14.9709,8.8879,83.41,47,90,5.77
153,Novobirilyussy,RU,2021-09-24 07:21:26,56.9514,90.6661,42.48,66,100,7.36
154,Mantua,IT,2021-09-24 07:19:04,45.1667,10.7833,65.44,85,0,1.99
155,Chicama,PE,2021-09-24 07:19:16,-7.8447,-79.1469,63.52,86,23,5.01
156,Billings,US,2021-09-24 07:21:27,45.7833,-108.5007,58.77,50,20,8.05
157,Muros,ES,2021-09-24 07:21:27,42.7762,-9.0603,64.99,83,100,8.99
158,Comodoro Rivadavia,AR,2021-09-24 07:21:27,-45.8667,-67.5,60.66,44,0,5.75
159,Finnsnes,NO,2021-09-24 07:21:28,69.2296,17.9811,42.76,95,100,4.27
160,Manggar,ID,2021-09-24 07:21:28,-2.8833,108.2667,85.23,66,21,8.99
161,Noshiro,JP,2021-09-24 07:21:29,40.2039,140.0242,68.94,77,42,9.44
162,San Blas,MX,2021-09-24 07:21:29,21.5167,-105.2667,79.79,84,56,3.74
163,Tungor,RU,2021-09-24 07:21:29,53.3808,142.9564,52.34,69,5,8.61
164,Mehriz,IR,2021-09-24 07:21:30,31.5917,54.4318,90.1,9,0,8.84
165,Thunder Bay,CA,2021-09-24 07:21:13,48.4001,-89.3168,46.29,100,1,4.61
166,Birganj,NP,2021-09-24 07:21:31,27.0104,84.8774,91.0,59,46,5.84
167,Hualmay,PE,2021-09-24 07:19:25,-11.0964,-77.6139,61.5,85,39,6.35
168,Saskylakh,RU,2021-09-24 07:17:38,71.9167,114.0833,34.5,89,100,6.96
169,Dingle,PH,2021-09-24 07:21:31,10.9995,122.6711,86.92,72,96,10.4
170,Gunjur,GM,2021-09-24 07:21:32,13.2019,-16.7339,73.47,100,75,0.0
171,Beringovskiy,RU,2021-09-24 07:18:33,63.05,179.3167,34.02,94,98,25.9
172,Alofi,NU,2021-09-24 07:16:50,-19.0595,-169.9187,67.89,88,5,1.14
173,Taoudenni,ML,2021-09-24 07:18:17,22.6783,-3.9836,90.36,16,30,1.83
174,Namibe,AO,2021-09-24 07:19:32,-15.1961,12.1522,69.46,82,8,1.07
175,Upernavik,GL,2021-09-24 07:16:50,72.7868,-56.1549,27.59,90,100,8.19
176,Tilichiki,RU,2021-09-24 07:17:11,60.4667,166.1,39.54,66,9,12.17
177,Turia,RO,2021-09-24 07:21:34,46.0333,26.05,50.49,67,100,5.32
178,Harnosand,SE,2021-09-24 07:21:34,62.6323,17.9379,46.99,88,100,10.94
179,Inverness,GB,2021-09-24 07:19:26,57.4791,-4.224,61.99,83,20,5.01
180,Kruisfontein,ZA,2021-09-24 07:17:52,-34.0033,24.7314,65.88,46,99,8.59
181,Longyearbyen,SJ,2021-09-24 07:17:29,78.2186,15.6401,42.64,81,75,10.36
182,Do Gonbadan,IR,2021-09-24 07:21:36,30.3586,50.7981,95.09,13,0,0.0
183,Kajiado,KE,2021-09-24 07:21:36,-1.8524,36.7768,65.12,70,99,7.27
184,Mayumba,GA,2021-09-24 07:17:19,-3.432,10.6554,76.12,84,99,3.06
185,Kalianget,ID,2021-09-24 07:21:37,-7.05,113.9333,83.28,68,100,10.58
186,Codrington,AU,2021-09-24 07:19:33,-38.2667,141.9667,49.68,75,100,22.79
187,Kyra,RU,2021-09-24 07:21:37,49.5776,111.9753,53.17,71,100,7.76
188,Cocorit,MX,2021-09-24 07:19:09,27.5833,-109.9667,82.27,68,4,3.58
189,Beatrice,US,2021-09-24 07:18:43,40.2681,-96.747,66.0,63,1,8.05
190,Yar-Sale,RU,2021-09-24 07:21:38,66.8333,70.8333,42.31,78,100,8.46
191,Chuy,UY,2021-09-24 07:18:07,-33.6971,-53.4616,53.83,96,21,7.96
192,Portland,US,2021-09-24 07:15:23,45.5234,-122.6762,63.52,83,1,1.01
193,Fiche,ET,2021-09-24 07:21:39,9.8,38.7333,58.1,71,22,4.43
194,Praia,CV,2021-09-24 07:21:39,14.9215,-23.5087,77.54,78,40,10.36
195,Mahebourg,MU,2021-09-24 07:16:49,-20.4081,57.7,77.29,73,40,13.8
196,Chalmette,US,2021-09-24 07:18:58,29.9427,-89.9634,71.58,71,1,1.99
197,Havoysund,NO,2021-09-24 07:21:40,70.9963,24.6622,47.28,72,16,24.27
198,Wageningen,NL,2021-09-24 07:18:23,51.9667,5.6667,62.85,93,90,8.05
199,Kincardine,GB,2021-09-24 07:21:41,56.0667,-3.7167,61.99,95,100,13.27
200,Port Macquarie,AU,2021-09-24 07:21:41,-31.4333,152.9167,71.56,59,3,7.18
201,Kalininsk,RU,2021-09-24 07:21:42,51.5,44.4758,51.89,64,100,1.43
202,Fare,PF,2021-09-24 07:21:42,-16.7,-151.0167,77.25,72,3,10.89
203,Pontianak,ID,2021-09-24 07:21:42,-0.0333,109.3333,91.38,58,75,4.61
204,San Cristobal,VE,2021-09-24 07:15:59,7.7669,-72.225,65.26,94,100,2.71
205,Bathurst,AU,2021-09-24 07:21:43,-33.4166,149.5806,66.72,43,35,1.01
206,San Policarpo,PH,2021-09-24 07:21:43,12.1791,125.5072,85.51,72,96,10.36
207,Quelimane,MZ,2021-09-24 07:21:44,-17.8786,36.8883,76.95,65,40,2.3
208,Tsumeb,NA,2021-09-24 07:21:44,-19.2333,17.7167,78.35,16,0,10.76
209,Rocha,UY,2021-09-24 07:14:48,-34.4833,-54.3333,50.95,97,32,3.22
210,Kodiak,US,2021-09-24 07:17:13,57.79,-152.4072,40.8,68,0,20.89
211,Savinka,RU,2021-09-24 07:21:45,50.0785,47.0994,50.38,91,100,5.91
212,Carnarvon,AU,2021-09-24 07:21:45,-24.8667,113.6333,77.07,57,0,18.41
213,San Felipe,VE,2021-09-24 07:17:13,10.3399,-68.7425,71.67,91,93,4.25
214,Delijan,IR,2021-09-24 07:21:46,33.9905,50.6838,82.15,8,0,4.63
215,Khowai,IN,2021-09-24 07:21:46,24.1,91.6333,92.98,57,13,4.21
216,Khor,RU,2021-09-24 07:21:47,47.8861,134.9464,62.83,45,30,4.68
217,Bonavista,CA,2021-09-24 07:21:47,48.6499,-53.1147,51.12,78,100,18.75
218,Nuqui,CO,2021-09-24 07:21:48,5.7125,-77.2708,75.94,90,100,1.83
219,Touros,BR,2021-09-24 07:17:39,-5.1989,-35.4608,74.3,82,69,13.2
220,Mazatlan,MX,2021-09-24 07:18:27,23.2167,-106.4167,76.96,94,90,10.36
221,Marsabit,KE,2021-09-24 07:21:48,2.3284,37.9899,70.97,51,48,20.0
222,Peace River,CA,2021-09-24 07:21:49,56.2501,-117.286,46.65,65,75,5.75
223,Cairns,AU,2021-09-24 07:21:49,-16.9167,145.7667,77.11,65,75,12.66
224,Springbok,ZA,2021-09-24 07:19:18,-29.6643,17.8865,62.04,23,1,2.82
225,Kautokeino,NO,2021-09-24 07:21:50,69.0125,23.0412,39.24,97,100,16.62
226,Saint-Joseph,RE,2021-09-24 07:17:30,-21.3667,55.6167,77.36,76,19,12.64
227,Aklavik,CA,2021-09-24 07:21:50,68.2191,-135.0107,31.03,90,100,3.83
228,Suining,CN,2021-09-24 07:21:51,30.508,105.5733,84.99,69,99,8.63
229,Contamana,PE,2021-09-24 07:21:51,-7.3333,-75.0167,71.28,85,96,1.57
230,Shimoda,JP,2021-09-24 07:21:51,34.6667,138.95,80.96,73,23,7.02
231,Bonthe,SL,2021-09-24 07:21:52,7.5264,-12.505,76.59,88,81,6.24
232,Ancud,CL,2021-09-24 07:18:38,-41.8697,-73.8203,51.42,88,81,5.41
233,Victoria,HK,2021-09-24 07:18:14,22.2855,114.1577,91.96,78,23,1.99
234,Hofn,IS,2021-09-24 07:16:53,64.2539,-15.2082,41.38,76,100,11.9
235,Caiaponia,BR,2021-09-24 07:21:53,-16.9567,-51.8103,76.66,33,5,9.26
236,Lagoa,PT,2021-09-24 07:17:15,39.05,-27.9833,68.16,72,100,12.82
237,North Bend,US,2021-09-24 07:15:15,43.4065,-124.2243,56.91,95,1,5.75
238,Angoram,PG,2021-09-24 07:17:24,-4.0625,144.0661,84.69,72,46,5.26
239,Crawfordsville,US,2021-09-24 07:21:54,40.0411,-86.8745,48.29,87,1,0.0
240,Kathmandu,NP,2021-09-24 07:20:22,27.7167,85.3167,82.62,57,75,3.44
241,Maracaibo,VE,2021-09-24 07:21:54,10.6317,-71.6406,79.14,88,100,5.3
242,Mayor Pablo Lagerenza,PY,2021-09-24 07:17:19,-19.9309,-60.7718,67.82,52,100,6.6
243,Verbivka,UA,2021-09-24 07:21:55,49.4167,35.5333,51.91,61,100,14.34
244,Khatanga,RU,2021-09-24 07:17:58,71.9667,102.5,37.51,77,98,2.26
245,Ruteng,ID,2021-09-24 07:21:55,-8.6136,120.4721,68.81,81,98,1.36
246,Sidney,AU,2021-09-24 07:18:11,-33.8679,151.2073,78.1,30,0,1.99
247,Wajima,JP,2021-09-24 07:21:56,37.4,136.9,72.28,73,75,9.22
248,Fairbanks,US,2021-09-24 07:20:31,64.8378,-147.7164,37.6,69,90,1.01
249,Byron Bay,AU,2021-09-24 07:20:16,-28.65,153.6167,82.51,58,3,17.47
250,Fuling,CN,2021-09-24 07:21:57,29.7022,107.3919,92.97,48,45,6.6
251,Havre-Saint-Pierre,CA,2021-09-24 07:21:57,50.2334,-63.5986,50.36,76,90,10.36
252,Souillac,MU,2021-09-24 07:21:58,-20.5167,57.5167,77.38,73,40,13.8
253,Los Llanos De Aridane,ES,2021-09-24 07:21:59,28.6585,-17.9182,69.55,83,40,5.75
254,Tuatapere,NZ,2021-09-24 07:17:25,-46.1333,167.6833,50.83,90,82,7.92
255,Hamilton,US,2021-09-24 07:15:07,39.1834,-84.5333,51.24,90,90,0.0
256,Thiers,FR,2021-09-24 07:21:59,45.8333,3.5,55.72,80,0,1.83
257,Soe,ID,2021-09-24 07:22:00,-9.8607,124.284,79.41,45,99,8.72
258,Kavieng,PG,2021-09-24 07:16:57,-2.5744,150.7967,83.8,72,100,12.15
259,Omaruru,NA,2021-09-24 07:22:00,-21.4333,15.9333,80.4,8,0,6.82
260,Kaitangata,NZ,2021-09-24 07:17:36,-46.2817,169.8464,48.96,79,96,8.57
261,Broome,US,2021-09-24 07:18:29,42.2506,-75.833,52.18,78,1,4.0
262,Korcula,HR,2021-09-24 07:22:01,42.9622,17.1369,55.96,54,5,4.05
263,Dickinson,US,2021-09-24 07:18:20,29.4608,-95.0513,73.94,80,1,0.0
264,Ostrovnoy,RU,2021-09-24 07:19:01,68.0531,39.5131,46.06,78,92,14.05
265,Darnah,LY,2021-09-24 07:22:02,32.767,22.6367,73.08,59,7,15.99
266,Mandalgovi,MN,2021-09-24 07:22:02,45.7625,106.2708,65.71,41,0,13.4
267,Takoradi,GH,2021-09-24 07:22:03,4.8845,-1.7554,76.59,89,85,6.73
268,Shakawe,BW,2021-09-24 07:22:03,-18.3667,21.85,81.64,24,0,10.04
269,Bisho,ZA,2021-09-24 07:22:04,-32.8472,27.4422,63.23,37,42,5.68
270,Marfino,RU,2021-09-24 07:22:04,55.7028,37.3822,48.34,81,75,8.95
271,Taltal,CL,2021-09-24 07:22:04,-25.4,-70.4833,56.16,81,22,2.66
272,Khartoum,SD,2021-09-24 07:17:26,15.5518,32.5324,82.02,75,100,1.99
273,Wieliczka,PL,2021-09-24 07:22:05,49.9874,20.0647,55.15,75,100,16.8
274,Keti Bandar,PK,2021-09-24 07:22:05,24.1447,67.4497,90.23,62,13,7.18
275,Benjamin Aceval,PY,2021-09-24 07:22:06,-24.9667,-57.5667,66.34,77,7,5.7
276,Sungaipenuh,ID,2021-09-24 07:22:06,-2.0833,101.3833,75.67,80,66,1.3
277,Korla,CN,2021-09-24 07:22:07,41.7597,86.1469,80.11,20,0,11.16
278,Waddan,LY,2021-09-24 07:22:07,29.1614,16.139,76.03,67,0,10.31
279,Husavik,IS,2021-09-24 07:17:56,66.0449,-17.3389,37.31,97,100,12.06
280,Lorengau,PG,2021-09-24 07:18:54,-2.0226,147.2712,83.91,71,88,10.56
281,Ilhabela,BR,2021-09-24 07:17:54,-23.7781,-45.3581,63.18,82,39,7.2
282,Belaya Gora,RU,2021-09-24 07:22:08,68.5333,146.4167,38.32,83,97,6.89
283,Kyren,RU,2021-09-24 07:22:08,51.6828,102.1408,56.3,55,51,4.16
284,Nyuksenitsa,RU,2021-09-24 07:22:09,60.4128,44.2397,47.41,94,100,11.61
285,Christchurch,NZ,2021-09-24 07:17:23,-43.5333,172.6333,57.4,61,0,1.01
286,Avarua,CK,2021-09-24 07:17:09,-21.2078,-159.775,71.65,68,75,3.44
287,Manono,CD,2021-09-24 07:22:10,-7.3,27.4167,81.55,57,100,2.01
288,Kandrian,PG,2021-09-24 07:22:10,-6.2167,149.55,81.09,82,23,9.86
289,Pizarro,CO,2021-09-24 07:22:10,4.9533,-77.366,75.33,90,96,2.33
290,Zharkent,KZ,2021-09-24 07:22:11,44.1628,80.0,75.56,11,0,24.67
291,Vestmannaeyjar,IS,2021-09-24 07:22:11,63.4427,-20.2734,44.02,73,96,14.67
292,Launceston,AU,2021-09-24 07:22:12,-41.45,147.1667,49.64,54,43,8.99
293,Nemuro,JP,2021-09-24 07:19:22,43.3236,145.575,57.63,68,4,13.04
294,Aitape,PG,2021-09-24 07:22:12,-3.1374,142.3475,82.29,82,85,7.16
